Title,URL,Location,Posted Date
Senior Financial Accountant,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Senior-Financial-Accountant_R468410-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,N/A
"Pārdevējs/-a Circle K Valdemāra (Kr.Valdemāra iela 124, Rīga)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63045-CIRCLE-K-VALDEMRA/Prdevjs--a-Circle-K-Valdemra--KrValdemra-iela-124--Rga-_R468407?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63045 CIRCLE K VALDEMĀRA,N/A
Swedish Speaking Customer Consultant,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Swedish-Speaking-Customer-Consultant_R459311-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,N/A
"Fuel Distribution Planner for Poland, Baltics",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Fuel-Distribution-Planner-for-Poland-and-Baltics_R468110?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,N/A
"Pārdevējs/-a Circle K Daugavpils 2 (Stacijas 97a, Daugavpils)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63027-CIRCLE-K-DAUGAVPILS-2/Prdevjs--a-Circle-K-Daugavpils-2--Stacijas-97a--Daugavpils-_R468111?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63027 CIRCLE K DAUGAVPILS 2,N/A
"Pārdevējs/-a Circle K Krustpils (Jāņavārtu iela 21, Rīga)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63067-CIRCLE-K-KRUSTPILS/Prdevjs--a-Circle-K-Krustpils--Javrtu-iela-21--Rga-_R467846?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63067 CIRCLE K KRUSTPILS,2024-11-13
Accountant,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Accountant_R464380-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,2024-11-13
"Pārdevējs/-a Circle K Jūrmala (Dubultu prospekts 42a, Jūrmala)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63017-CIRCLE-K-JRMALA/Prdevjs--a-Circle-K-Jrmala--Dubultu-prospekts-42a--Jrmala-_R467810?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63017 CIRCLE K JŪRMALA,2024-11-13
"Pārdevējs/-a DUS Krimulda - franšīze (""Cielavas"", Ragana, Krimuldas pag., Siguldas nov.)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63216-CIRCLE-K-KRIMULDA/Prdevjs--a-DUS-Krimulda---franze---Cielavas---Ragana--Krimuldas-pag--Siguldas-nov-_R442584?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63216 CIRCLE K KRIMULDA,2024-11-12
Global Sales Data & Insight Manager,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Global-Sales-Data---Insight-Manager_R467251?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,2024-11-12
"Pārdevējs/-a Circle K Valmiera 1 (Stacijas iela 29, Valmiera)",https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/63018-CIRCLE-K-VALMIERA-1/Prdevjs--a-Circle-K-Valmiera-1--Stacijas-iela-29--Valmiera-_R467257-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,63018 CIRCLE K VALMIERA 1,2024-11-11
Senior Corporate Internal Auditor,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Senior-Corporate-Internal-Auditor_R467090-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,2024-11-08
Senior Loyalty Analyst,https://circlek.wd3.myworkdayjobs.com/en-US/CircleKStoreJobs/job/Support-Office-Riga-BC--BU/Senior-Loyalty-Analyst_R465952-1?locationCountry=1c026f3b1b8640d8bdfcb95466663e4d,Support Office Riga BC & BU,2024-11-08
