Job Title,Job Location,Job URL
Taras mazgātāju Ķengaraga ielā 6a,LIDO,https://www.lido.lv/lv/karjera/?itemId=4744
Piegādes komplektētāju,LIDO ATPŪTAS CENTRS,https://www.lido.lv/lv/karjera/?itemId=4745
Kasieri,LIDO VĒRMANĪTIS,https://www.lido.lv/lv/karjera/?itemId=4739
Gaļas kulināru - Silakroga ražotnē,LIDO,https://www.lido.lv/lv/karjera/?itemId=4754
Kartupeļu salmiņu cepēju,LIDO ATPŪTAS CENTRS,https://www.lido.lv/lv/karjera/?itemId=4746
Karstā ceha pavāru,LIDO DZIRNAVAS,https://www.lido.lv/lv/karjera/?itemId=4712
Viesmīli/bārmeni,LIDO ATPŪTAS CENTRS,https://www.lido.lv/lv/karjera/?itemId=4748
Kasieri,LIDO ĢERTRŪDE,https://www.lido.lv/lv/karjera/?itemId=4743
Pārdevēju kafitērijā,LIDO ATPŪTAS CENTRS,https://www.lido.lv/lv/karjera/?itemId=4750
Saimniecisko darbinieku uz pusslodzi,LIDO ORIGO,https://www.lido.lv/lv/karjera/?itemId=4676
Kasieri,LIDO ATPŪTAS CENTRS,https://www.lido.lv/lv/karjera/?itemId=4752
Viesmīli,LIDO ORIGO,https://www.lido.lv/lv/karjera/?itemId=4681
Restorāna zāles darbinieku,LIDO SPICE,https://www.lido.lv/lv/karjera/?itemId=4734
Kasieri,LIDO ORIGO,https://www.lido.lv/lv/karjera/?itemId=4740
Metāla trauku mazgātāju.,LIDO DOMINA,https://www.lido.lv/lv/karjera/?itemId=4599
Pavāru karstajā gaļas cehā,LIDO DAMME,https://www.lido.lv/lv/karjera/?itemId=4618
Apkopēju,LIDO VĒRMANĪTIS,https://www.lido.lv/lv/karjera/?itemId=4570
Sadales pārdevēju - brīvdienās,LIDO ALFA,https://www.lido.lv/lv/karjera/?itemId=4742
Viesmīli,LIDO VĒRMANĪTIS,https://www.lido.lv/lv/karjera/?itemId=4680
Sušī kulināru Lido ražotnē - Ķengaraga 6a,LIDO,https://www.lido.lv/lv/karjera/?itemId=4727
Kartupeļu salmiņu cepēju,LIDO VĒRMANĪTIS,https://www.lido.lv/lv/karjera/?itemId=4709
Fasētāju - Sialkroga ražotnē,LIDO,https://www.lido.lv/lv/karjera/?itemId=4729
Sadales pavāru- pārdevēju pie karsto ēdienu vitrīnas,LIDO VĒRMANĪTIS,https://www.lido.lv/lv/karjera/?itemId=4725
