Region,Job Title,Location,Link
Ādažu novads,Pārdevējs-kasieris,"Kalngale, Carnikavas pag., Ādažu nov., Ērgļu iela 1b, LV-2163",https://elvi.lv/vakances/pardevejs-kasieris-29/
Ādažu novads,Reģionālais pārdevējs,Reģionālais pārdevējs,https://elvi.lv/vakances/regionalais-pardevejs-6/
Ādažu novads,Pārdevējs-kasieris,"Carnikava, Tulpju iela 1a, LV-2163",https://elvi.lv/vakances/pardevejs-kasieris-81/
Ādažu novads,Pārdevējs-kasieris,"Carnikava, Rīgas iela 23, LV- 2163",https://elvi.lv/vakances/pardevejs-kasieris-80/
Ādažu novads,Apkopējs,"Carnikava, Rīgas iela 23, LV- 2163",https://elvi.lv/vakances/apkopejs-17/
Ādažu novads,Preču pieņēmējs-pārdevējs,"Ādaži, Ādažu pag., Ādažu nov., Rīgas gatve 51, LV-2164",https://elvi.lv/vakances/precu-pienemejs-pardevejs-12/
Cēsu novads,Pārdevējs-kasieris,"Augšlīgatne, Līgatnes pag., Cēsu nov., Nītaures iela 5, LV- 4108",https://elvi.lv/vakances/pardevejs-kasieris-8/
Cēsu novads,Apkopējs uz nepilnu slodzi,"Taurene, Taurenes pag., Cēsu nov., Lauras, LV-4119",https://elvi.lv/vakances/apkopeja-uz-nepilnu-slodzi-9/
Cēsu novads,Pārdevējs-kasieris,"Plācis, Straupes pag., Cēsu nov., Bērzi, LV-4152",https://elvi.lv/vakances/pardevejs-kasieris-14/
Jelgavas novads,Maiņas vecākais pārdevējs,"Jelgava, Lielā iela 49, LV-3001",https://elvi.lv/vakances/mainas-vecakais-pardevejs-37/
Kuldīgas novads,Konditors,"Kuldīga, Kuldīgas nov., Gravas iela 1, LV-3301",https://elvi.lv/vakances/konditors-5/
Limbažu novads,Maiņas vecākais pārdevējs,"Ziemeļblāzma; Rīgas prospekts 1, Skultes pagasts, Limbažu novads",https://elvi.lv/vakances/mainas-vecakais-pardevejs-48/
Limbažu novads,Pārdevējs-kasieris,"Ziemeļblāzma; Rīgas prospekts 1, Skultes pagasts, Limbažu novads",https://elvi.lv/vakances/pardevejs-kasieris-61/
Limbažu novads,Veikala vadītājs uz noteiktu laiku,"Ziemeļblāzma; Rīgas prospekts 1, Skultes pagasts, Limbažu novads",https://elvi.lv/vakances/veikala-vaditajs-32/
Mārupes novads,Apkopējs-sētnieks uz pilnu slodzi,Apkopējs-sētnieks uz pilnu slodzi,https://elvi.lv/vakances/apkopejs-setnieks-uz-pilnu-slodzi-3/
Mārupes novads,Pārdevējs – kasieris,Pārdevējs – kasieris,https://elvi.lv/vakances/pardevejs-kasieris-15/
Mārupes novads,Maiņas vecākais pārdevējs,Maiņas vecākais pārdevējs,https://elvi.lv/vakances/mainas-vecakais-pardevejs-50/
Mārupes novads,Pārdevējs-kasieris,"Mārupe, Lielā iela 26, LV-2167",https://elvi.lv/vakances/pardevejs-kasieris-59/
Mārupes novads,Apkopējs uz pilnu slodzi,"Mārupe, Lielā iela 26, LV-2167",https://elvi.lv/vakances/apkopejs-uz-pilnu-slodzi-5/
Mārupes novads,Maiņas vecākais pārdevējs,"Mārupe, Lielā iela 26, LV-2167",https://elvi.lv/vakances/mainas-vecakais-pardevejs-28/
Mārupes novads,Preču pieņēmējs-pārdevējs,Preču pieņēmējs-pārdevējs,https://elvi.lv/vakances/precu-pienemejs-pardevejs-24/
Ogres novads,Pārdevējs-kasieris,"Ikšķile, Ogres nov., Daugavas prospekts 18a, LV-5052",https://elvi.lv/vakances/pardevejs-kasieris-60/
Ogres novads,Reģionālais pārdevējs Ogrē un tās reģionā,Reģionālais pārdevējs Ogrē un tās reģionā,https://elvi.lv/vakances/regionalais-pardevejs-2/
Ogres novads,Apkopējs uz nepilnu slodzi,"Ikšķile, Ogres nov., Daugavas prospekts 18a, LV-5052",https://elvi.lv/vakances/apkopejs-uz-nepilnu-slodzi-09/
Ogres novads,Pārdevējs-kasieris,"Ogre, Mālkalnes prospekts 3, LV-5001",https://elvi.lv/vakances/pardevejs-kasieris-27/
"Rīga, Rīgas rajons",Veikala vadītājs,"Rīga, Biķernieku iela 75a, LV-1039",https://elvi.lv/vakances/veikala-vaditajs-30/
"Rīga, Rīgas rajons",Pārdevējs-kasieris,"Rīga, Kūdras iela 8b,  LV-1083",https://elvi.lv/vakances/pardevejs-kasieris-66/
"Rīga, Rīgas rajons",Apkopējs uz nepilnu slodzi,"Rīga, Mārupes iela 35-602, LV-1002",https://elvi.lv/vakances/apkopejs-uz-nepilnu-slodzi-8/
"Rīga, Rīgas rajons",Pārdevējs-kasieris,"Rīga, Mārupes iela 35-602, LV-1002",https://elvi.lv/vakances/pardevejs-kasieris-28/
Salaspils novads,Maiņas vecākais pārdevējs,"Rīgas iela 24, Salaspils, Salaspils novads, LV-2121",https://elvi.lv/vakances/mainas-vecakais-pardevejs-36/
Salaspils novads,Pārdevējs vitrīnas zonā,"Rīgas iela 24, Salaspils, Salaspils novads, LV-2121",https://elvi.lv/vakances/pardevejs-vitrinas-zona-10-2/
Saulkrastu novads,Apkopējs-sētnieks uz pilnu slodzi,Apkopējs-sētnieks uz pilnu slodzi,https://elvi.lv/vakances/apkopejs-setnieks-uz-pilnu-slodzi/
Saulkrastu novads,Pārdevējs-kasieris,Pārdevējs-kasieris,https://elvi.lv/vakances/pardevejs-kasieris-12/
Saulkrastu novads,Pārdevējs-kasieris,"Saulkrasti, Saulkrastu nov., Ainažu ielā 28a, LV-2160",https://elvi.lv/vakances/pardevejs-kasieris-23/
Saulkrastu novads,Veikala vadītājs,"Saulkrasti, Rīgas iela 100, LV – 2160",https://elvi.lv/vakances/veikala-vaditajs-31/
Saulkrastu novads,Reģionālais pārdevējs,Reģionālais pārdevējs,https://elvi.lv/vakances/regionalais-pardevejs-6/
Saulkrastu novads,Pārdevējs-kasieris,"Zvejniekciems, Ainažu iela 113, LV – 2161",https://elvi.lv/vakances/pardevejs-kasieris-77/
Saulkrastu novads,Veikala vadītāja vietnieks,"Zvejniekciems, Ainažu iela 113, LV – 2161",https://elvi.lv/vakances/veikala-vaditaja-vietnieks-3/
Saulkrastu novads,Apkopējs uz nepilnu slodzi,"Saulkrasti, Saulkrastu nov., Ainažu ielā 28a, LV-2160",https://elvi.lv/vakances/apkopejs-16/
Siguldas novads,Apkopējs uz pilnu slodzi,"Sigulda, Siguldas nov., Vidus iela 1, LV-2150",https://elvi.lv/vakances/apkopejs-11/
Siguldas novads,Sētnieks uz nepilnu slodzi,"Ragana, Krimuldas pag., Siguldas nov., Tirgus iela 10, LV-2144",https://elvi.lv/vakances/apkopejs-12/
Siguldas novads,Apkopējs uz pilnu slodzi,"Sigulda, Siguldas nov.,Vidzemes šoseja 16, LV-2150",https://elvi.lv/vakances/apkopejs-7-3/
Siguldas novads,Pārdevējs-kasieris,"Zinātnes iela 1, Sigulda, Siguldas novads, LV-2150",https://elvi.lv/vakances/pardevejs-kasieris-76/
Siguldas novads,Maiņas vecākais pārdevējs,"Zinātnes iela 1, Sigulda, Siguldas novads, LV-2150",https://elvi.lv/vakances/mainas-vecakais-pardevejs-38/
